levels,lowest,high_level,low_level,method,datasets,S_shared,train_time,test_time,mae_error,median_ae_error,minimum_ae_error,maximum_ae_error,mae_relative,median_ae_relative,minimum_ae_relative,maximum_ae_relative,mae_std,median_ae_std,minimum_ae_std,maximum_ae_std,pearson_error,spearman_error,kendall_error,pearson_std,spearman_std,kendall_std
2,PBE,40,60,Multitask,CA,1.0,0.0026009082794189453,0.0051250457763671875,0.016360689303409257,0.009572420819812112,8.813994077430383e-7,0.14899051386887993,12.821400923329644,0.9947767029979164,0.003190325032866984,830.4804046736446,0.4979128584591928,0.4395858175491205,0.19868799670791515,1.864793846189995,0.568434978116329,0.519231674203749,0.39749204064341387,0.33879356124769,0.11354261272082736,0.07519592476489029
2,PBE,40,61,Multitask,CAT,1.0,0.9004669189453125,0.08839654922485352,0.008681826196568862,0.005615390731816075,1.5138409062032121e-5,0.09343405497861054,6.820174612620268,0.6298893167836712,0.0005559090588580141,742.4876511253991,0.3930033064639158,0.3509997014487973,0.16931482257892508,1.3474228304238407,0.9149397777898671,0.8983338512221116,0.7304237089340871,0.2824335083116947,0.07370653033721032,0.04956896551724138
2,PBE,80,120,Multitask,CA,1.0,0.0070590972900390625,0.007849931716918945,0.014771717578059665,0.009359220609287964,8.447363531233069e-5,0.1167058486903242,14.660724335119014,0.9992743835308282,0.005541716469845792,1808.8066704799448,0.3796613791615136,0.3434274256949206,0.1536096543582414,1.465494515366023,0.696813483887184,0.6124671940281559,0.4556845462238811,0.32482549553632284,0.09511543081475406,0.06355799373040752
2,PBE,80,121,Multitask,CAT,1.0,2.3425817489624023,0.1925048828125,0.00823263967177421,0.005540152826637994,8.309455998840864e-6,0.06847420895293463,9.91327308838217,0.569057669014033,0.0002122488887747678,1591.8210904941334,0.3076407273129316,0.2816764466806012,0.13362431230870636,1.071653656880329,0.9225506155764537,0.86872722258928,0.7067156511050079,0.3039477243301016,0.08907948319807811,0.058072100313479626
2,PBE,160,240,Multitask,CA,1.0,0.02130603790283203,0.014646053314208984,0.01021702973484567,0.006095643580908894,3.255076417896935e-6,0.09524959224508919,6.708836452004375,0.6822213317890702,0.0002132105721856572,263.0790064432373,0.29036926654198997,0.254322600534693,0.1021598318454405,1.4027886644747862,0.8488409861204357,0.7825915074442562,0.6138427634109288,0.4302518813077722,0.14662643189874902,0.09835423197492163
2,PBE,160,241,Multitask,CAT,1.0,6.976732969284058,0.417067289352417,0.005963790830914507,0.0037978651680226623,2.7219253321073412e-6,0.05594916130570217,3.1863261606319524,0.3566295269124524,0.007135845297525443,131.8304504496502,0.24285318758349567,0.21875721142526988,0.09601275394809165,1.0260281657553043,0.9527046484234669,0.9218237785779333,0.7754102385006706,0.3256981485938055,0.038633067705739314,0.024529780564263325
2,PBE,320,480,Multitask,CA,1.0,0.07307791709899902,0.02528095245361328,0.00817644362156017,0.004405791535413825,5.34463212322131e-5,0.10645351747926192,6.011166686412972,0.48046858973963835,0.002322967032480562,546.0598229406177,0.22150235580786887,0.19219186451102355,0.07188020550134198,1.2549299389562034,0.8848948558318261,0.8422973235015719,0.6869654673928492,0.4517875296564619,0.138948012187619,0.09220219435736678
2,PBE,320,481,Multitask,CAT,1.0,23.943711757659912,0.918724775314331,0.005281140216401564,0.0030405558626854824,1.303975909654198e-5,0.06862464862026862,3.856810707108111,0.2845649584670764,0.0012219866528592849,335.4345120075912,0.19175821530864384,0.16877283086065037,0.07055209437236307,0.939117374455954,0.9564901634982157,0.9324895990444667,0.8009600793346535,0.3946624968842267,0.029527510034277678,0.017241379310344827
2,PBE,5,5,Multitask,A,1.0,0.0002799034118652344,0.0027251243591308594,0.017984237311896144,0.010608637160525038,1.1515993054819068e-5,0.20986128694913916,13.745835164145518,1.1011187070532964,0.0014783411640586206,961.1222623494469,1.0238965795327692,0.948976524386433,0.45889129355650043,2.4963599589813206,0.26464178395359905,0.3146165265010838,0.21731080114241155,0.19965093914979987,-0.029262370726276625,-0.021473354231974922
2,PBE,5,6,Multitask,AT,1.0,0.06016397476196289,0.028239965438842773,0.013957115863832956,0.009030188953615285,4.014316401974139e-5,0.1309750639815078,21.035702735200868,0.794434836856054,0.024731371984569935,1860.4964446277231,0.8836090766510312,0.8374687630261601,0.4453516338227672,1.832711594227369,0.8425453863310775,0.7959374703023956,0.6205437185989826,0.1834711423126861,0.031750065918612486,0.02049373040752351
2,PBE,10,10,Multitask,A,1.0,0.00034880638122558594,0.0029959678649902344,0.018709652402900477,0.00998449785701471,0.0002621132147220574,0.1934613891128208,30.69289803410117,1.261376614562916,0.010622611746463359,3017.114416779768,0.8004024137297702,0.735635408812114,0.3247841090072046,2.3917784555855763,0.3159226368611569,0.34249443857183626,0.25783002725029247,0.36784730538670335,0.16978510532329416,0.11387147335423198
2,PBE,10,11,Multitask,AT,1.0,0.10402894020080566,0.02645254135131836,0.012106055330177575,0.007965544744346338,5.332538311579593e-7,0.12995703110500068,14.843317427279093,0.7139877298182612,3.110934062111431e-5,1598.2276238204963,0.6954659498407769,0.6443931514173113,0.3186962510657112,1.7737455905842094,0.864752013028948,0.8216089387153732,0.6531080096005775,0.29048141644744013,0.05724994872996807,0.03914576802507837
2,PBE,20,20,Multitask,A,1.0,0.0006330013275146484,0.003495931625366211,0.02025735885687377,0.01154842370962942,5.055822934933729e-5,0.17830639548666968,23.187771592276533,1.5326159481052994,0.0014514332629266883,1458.148518887795,0.6382345882755531,0.569501124693861,0.2916302843021521,2.0976422401773966,0.2926319785383799,0.33140362592856454,0.24352681880795538,0.32254545295431863,0.22935136085313332,0.1550548589341693
2,PBE,20,21,Multitask,AT,1.0,0.2124781608581543,0.0456852912902832,0.016487980688828646,0.010619169675532588,6.368582398018352e-6,0.16032507300764198,23.232624937942163,1.1320386873035369,0.00016068944856834964,1459.4484653276913,0.5621599192408089,0.5105798936477857,0.2715774496094783,1.6248574933005655,0.5546328476980763,0.5865428543544822,0.43985304975619843,0.39423817606514006,0.26209057217355636,0.1789576802507837
2,PBE,40,40,Multitask,A,1.0,0.0017538070678710938,0.004765987396240234,0.016764085123860455,0.011082457642758347,7.297089177555477e-5,0.1437587697301673,17.933317049500413,0.9686546822075619,0.0018602145271290667,2050.5024981854917,0.4955655035581712,0.4420666611824817,0.1999622094051525,1.7786758990491844,0.5571576780715556,0.5153258111610938,0.38926279743001446,0.3284561567449591,0.07113277473412827,0.0463166144200627
2,PBE,40,41,Multitask,AT,1.0,0.5897159576416016,0.07152438163757324,0.012352362482190316,0.00899823392678483,9.519276887462463e-5,0.11198736478844606,18.215893084517216,0.690098251365304,0.002753831664117048,2050.4018818930626,0.43979336491878096,0.3919247559773355,0.18689532423960137,1.4410624160416443,0.8216760328296604,0.8279164378588895,0.6337105077404217,0.20153104350206683,0.042883719567573905,0.02829153605015674
2,PBE,80,80,Multitask,A,1.0,0.0045969486236572266,0.00687098503112793,0.014557457666440846,0.009436877129351477,3.7833931781521e-5,0.11775401870873663,13.192439705885059,0.9503405929063675,0.0019879477344111607,1890.2514845022881,0.3791558408865576,0.34474734184517114,0.1529580717627193,1.470391760134891,0.7089221866242702,0.6511984284995134,0.4863678673481275,0.32194598629305127,0.09615181788884657,0.06575235109717868
2,PBE,80,81,Multitask,AT,1.0,1.590308666229248,0.1401958465576172,0.010858245167496578,0.007596188555330373,4.6739168560680375e-6,0.0954140713231158,11.881104537574606,0.6946763084326678,0.0034152713186907527,1890.4897814922542,0.3397518988758447,0.31162539357321084,0.14316681475861928,1.1268991625201716,0.8541913687454236,0.8020642424840676,0.6241097239914557,0.2556338190786839,0.06787126827410424,0.04537617554858934
